period,signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.7,1.1083703175196418,-1,30m,76,53,13.67662710264688,0.01799556197716696,-0.2025,0.3026315789473684,76.26708959020401,1.0653483419967018,-0.0074057572621747435,-0.8047082128092606,-11.567978872609565,2.735325420529384,3,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.95,1.8248047448958737,1,15m,55,39,-14.37591566032132,-0.02613802847331149,-0.02355263157894732,0.41818181818181815,25.856004735835075,0.7675003723356985,-0.006759864645084094,-7.540314321881665,-6.485162191667362,-2.875183132064266,2,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.85,1.172298631049096,-1,30m,107,63,-27.34502913417588,-0.025556101994556896,-0.16250000000000003,0.2897196261682243,97.3088419744274,0.8940027948566229,-0.024124994500600013,-5.783063843160095,-24.39898105612897,-5.469005826835177,3,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.95,1.8248047448958737,1,5m,73,37,-12.742088787653545,-0.017454916147470606,-0.014404761904761863,0.3835616438356164,15.507982947807863,0.7564770934918621,0.005610090419833578,-6.4674721219302,-5.919147710914382,-2.548417757530708,1,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_remaining_time_scaled,DQ2_TWEAK_TIME_AWARE,0.85,0.15151380367311815,1,15m,226,74,-161.6392206704241,-0.07152177905770976,-0.03768518518518521,0.37610619469026546,173.40616206236558,0.5372530624979098,-0.005940338620738679,-53.778018411768144,-54.09961288511653,-32.32784413408481,0,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_remaining_time_scaled,DQ2_TWEAK_TIME_AWARE,0.95,0.2725838565132821,-1,30m,67,49,-69.78722503191949,-0.10416003736107383,-0.065,0.2835820895522388,68.85313412282858,0.43607439902232675,-0.029967317072118735,-16.026580210170685,-24.633244155919265,-13.957445006383898,0,5
REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_remaining_time_scaled,DQ2_TWEAK_TIME_AWARE,0.95,0.2725838565132821,-1,5m,118,50,-37.69642359174868,-0.03194612168792261,-0.027515634771732297,0.2796610169491525,43.068650681568585,0.5985413940347284,-0.000768983423702624,-17.57564840528187,-15.01488492656336,-7.5392847183497365,0,5
POSTSEASON_FINAL_AUDIT,tweak_process_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.8,0.9158541345063291,1,settle,12,12,26.719018281450047,0.22265848567875038,0.32878520225294416,0.5833333333333334,30.074999999999996,1.5330477462633425,0.10404417057335635,4.526914913252124,4.173504570362513,6.679754570362514,2,4
POSTSEASON_FINAL_AUDIT,tweak_process_outcome_agreement,DQ2_TWEAK_AGREEMENT,0.8,1.5641421815391412,1,settle,12,12,14.364358047454466,0.11970298372878718,-1.0025,0.4166666666666667,40.099999999999994,1.2046933815098608,0.030335330009891904,6.5904069767441875,-0.1682854881363829,3.5910895118636166,2,4
POSTSEASON_FINAL_AUDIT,tweak_process_outcome_ensemble,DQ2_TWEAK_ENSEMBLE,0.85,1.5079970473606323,1,settle,12,12,-7.152325471251302,-0.059602712260427536,-1.0025,0.3333333333333333,48.43586956521739,0.9108188843983628,-0.03978056740081323,-6.674184782608695,-6.800581367812824,-1.7880813678128247,2,4
