model_id,test_epoch,train_rows,test_rows
dq2_outcome_elastic_a0.01_l0.5,22,23658,130
dq2_outcome_hgb_l7_r5,8,3290,1449
dq2_outcome_hgb_l7_r5,9,4739,1602
dq2_outcome_hgb_l7_r5,10,6341,1629
dq2_outcome_hgb_l7_r5,11,7970,1748
dq2_outcome_hgb_l7_r5,12,9718,1645
dq2_outcome_hgb_l7_r5,13,11363,1876
dq2_outcome_hgb_l7_r5,14,13239,1640
dq2_outcome_hgb_l7_r5,15,14879,1808
dq2_outcome_hgb_l7_r5,16,16687,1872
dq2_outcome_hgb_l7_r5,17,18559,1810
dq2_outcome_hgb_l7_r5,18,20369,1799
dq2_outcome_hgb_l7_r5,19,22168,732
dq2_outcome_hgb_l7_r5,20,22900,528
dq2_outcome_hgb_l7_r5,21,23428,230
dq2_outcome_hgb_l7_r5,22,23658,130
dq2_outcome_hgb_l15_r10,8,3290,1449
dq2_outcome_hgb_l15_r10,9,4739,1602
dq2_outcome_hgb_l15_r10,10,6341,1629
dq2_outcome_hgb_l15_r10,11,7970,1748
dq2_outcome_hgb_l15_r10,12,9718,1645
dq2_outcome_hgb_l15_r10,13,11363,1876
dq2_outcome_hgb_l15_r10,14,13239,1640
dq2_outcome_hgb_l15_r10,15,14879,1808
dq2_outcome_hgb_l15_r10,16,16687,1872
dq2_outcome_hgb_l15_r10,17,18559,1810
dq2_outcome_hgb_l15_r10,18,20369,1799
dq2_outcome_hgb_l15_r10,19,22168,732
dq2_outcome_hgb_l15_r10,20,22900,528
dq2_outcome_hgb_l15_r10,21,23428,230
dq2_outcome_hgb_l15_r10,22,23658,130
dq2_market_ridge_15m_a0.1,8,851,1449
dq2_market_ridge_15m_a0.1,9,1182,1602
dq2_market_ridge_15m_a0.1,10,1592,1629
dq2_market_ridge_15m_a0.1,11,2010,1748
dq2_market_ridge_15m_a0.1,12,2464,1645
dq2_market_ridge_15m_a0.1,13,2889,1876
dq2_market_ridge_15m_a0.1,14,3359,1640
dq2_market_ridge_15m_a0.1,15,3771,1808
dq2_market_ridge_15m_a0.1,16,4244,1872
dq2_market_ridge_15m_a0.1,17,4709,1810
dq2_market_ridge_15m_a0.1,18,5149,1799
dq2_market_ridge_15m_a0.1,19,5602,732
dq2_market_ridge_15m_a0.1,20,5779,528
dq2_market_ridge_15m_a0.1,21,5875,230
dq2_market_ridge_15m_a0.1,22,5936,130
dq2_market_ridge_15m_a1,8,851,1449
dq2_market_ridge_15m_a1,9,1182,1602
dq2_market_ridge_15m_a1,10,1592,1629
dq2_market_ridge_15m_a1,11,2010,1748
dq2_market_ridge_15m_a1,12,2464,1645
dq2_market_ridge_15m_a1,13,2889,1876
dq2_market_ridge_15m_a1,14,3359,1640
dq2_market_ridge_15m_a1,15,3771,1808
dq2_market_ridge_15m_a1,16,4244,1872
dq2_market_ridge_15m_a1,17,4709,1810
dq2_market_ridge_15m_a1,18,5149,1799
dq2_market_ridge_15m_a1,19,5602,732
dq2_market_ridge_15m_a1,20,5779,528
dq2_market_ridge_15m_a1,21,5875,230
dq2_market_ridge_15m_a1,22,5936,130
dq2_market_ridge_15m_a10,8,851,1449
dq2_market_ridge_15m_a10,9,1182,1602
dq2_market_ridge_15m_a10,10,1592,1629
dq2_market_ridge_15m_a10,11,2010,1748
dq2_market_ridge_15m_a10,12,2464,1645
dq2_market_ridge_15m_a10,13,2889,1876
dq2_market_ridge_15m_a10,14,3359,1640
dq2_market_ridge_15m_a10,15,3771,1808
dq2_market_ridge_15m_a10,16,4244,1872
dq2_market_ridge_15m_a10,17,4709,1810
dq2_market_ridge_15m_a10,18,5149,1799
dq2_market_ridge_15m_a10,19,5602,732
dq2_market_ridge_15m_a10,20,5779,528
dq2_market_ridge_15m_a10,21,5875,230
dq2_market_ridge_15m_a10,22,5936,130
dq2_market_ridge_15m_a100,8,851,1449
dq2_market_ridge_15m_a100,9,1182,1602
dq2_market_ridge_15m_a100,10,1592,1629
dq2_market_ridge_15m_a100,11,2010,1748
dq2_market_ridge_15m_a100,12,2464,1645
dq2_market_ridge_15m_a100,13,2889,1876
dq2_market_ridge_15m_a100,14,3359,1640
dq2_market_ridge_15m_a100,15,3771,1808
dq2_market_ridge_15m_a100,16,4244,1872
dq2_market_ridge_15m_a100,17,4709,1810
dq2_market_ridge_15m_a100,18,5149,1799
dq2_market_ridge_15m_a100,19,5602,732
dq2_market_ridge_15m_a100,20,5779,528
dq2_market_ridge_15m_a100,21,5875,230
dq2_market_ridge_15m_a100,22,5936,130
dq2_market_elastic_15m_a0.0001_l0.1,8,851,1449
dq2_market_elastic_15m_a0.0001_l0.1,9,1182,1602
dq2_market_elastic_15m_a0.0001_l0.1,10,1592,1629
dq2_market_elastic_15m_a0.0001_l0.1,11,2010,1748
dq2_market_elastic_15m_a0.0001_l0.1,12,2464,1645
dq2_market_elastic_15m_a0.0001_l0.1,13,2889,1876
dq2_market_elastic_15m_a0.0001_l0.1,14,3359,1640
dq2_market_elastic_15m_a0.0001_l0.1,15,3771,1808
dq2_market_elastic_15m_a0.0001_l0.1,16,4244,1872
dq2_market_elastic_15m_a0.0001_l0.1,17,4709,1810
dq2_market_elastic_15m_a0.0001_l0.1,18,5149,1799
dq2_market_elastic_15m_a0.0001_l0.1,19,5602,732
dq2_market_elastic_15m_a0.0001_l0.1,20,5779,528
dq2_market_elastic_15m_a0.0001_l0.1,21,5875,230
dq2_market_elastic_15m_a0.0001_l0.1,22,5936,130
dq2_market_elastic_15m_a0.001_l0.1,8,851,1449
dq2_market_elastic_15m_a0.001_l0.1,9,1182,1602
dq2_market_elastic_15m_a0.001_l0.1,10,1592,1629
dq2_market_elastic_15m_a0.001_l0.1,11,2010,1748
dq2_market_elastic_15m_a0.001_l0.1,12,2464,1645
dq2_market_elastic_15m_a0.001_l0.1,13,2889,1876
dq2_market_elastic_15m_a0.001_l0.1,14,3359,1640
dq2_market_elastic_15m_a0.001_l0.1,15,3771,1808
dq2_market_elastic_15m_a0.001_l0.1,16,4244,1872
dq2_market_elastic_15m_a0.001_l0.1,17,4709,1810
dq2_market_elastic_15m_a0.001_l0.1,18,5149,1799
dq2_market_elastic_15m_a0.001_l0.1,19,5602,732
dq2_market_elastic_15m_a0.001_l0.1,20,5779,528
dq2_market_elastic_15m_a0.001_l0.1,21,5875,230
dq2_market_elastic_15m_a0.001_l0.1,22,5936,130
dq2_market_elastic_15m_a0.001_l0.5,8,851,1449
dq2_market_elastic_15m_a0.001_l0.5,9,1182,1602
dq2_market_elastic_15m_a0.001_l0.5,10,1592,1629
dq2_market_elastic_15m_a0.001_l0.5,11,2010,1748
dq2_market_elastic_15m_a0.001_l0.5,12,2464,1645
dq2_market_elastic_15m_a0.001_l0.5,13,2889,1876
dq2_market_elastic_15m_a0.001_l0.5,14,3359,1640
dq2_market_elastic_15m_a0.001_l0.5,15,3771,1808
dq2_market_elastic_15m_a0.001_l0.5,16,4244,1872
dq2_market_elastic_15m_a0.001_l0.5,17,4709,1810
dq2_market_elastic_15m_a0.001_l0.5,18,5149,1799
dq2_market_elastic_15m_a0.001_l0.5,19,5602,732
dq2_market_elastic_15m_a0.001_l0.5,20,5779,528
dq2_market_elastic_15m_a0.001_l0.5,21,5875,230
dq2_market_elastic_15m_a0.001_l0.5,22,5936,130
dq2_market_hgb_15m_l7_r5,8,851,1449
dq2_market_hgb_15m_l7_r5,9,1182,1602
dq2_market_hgb_15m_l7_r5,10,1592,1629
dq2_market_hgb_15m_l7_r5,11,2010,1748
dq2_market_hgb_15m_l7_r5,12,2464,1645
dq2_market_hgb_15m_l7_r5,13,2889,1876
dq2_market_hgb_15m_l7_r5,14,3359,1640
dq2_market_hgb_15m_l7_r5,15,3771,1808
dq2_market_hgb_15m_l7_r5,16,4244,1872
dq2_market_hgb_15m_l7_r5,17,4709,1810
dq2_market_hgb_15m_l7_r5,18,5149,1799
dq2_market_hgb_15m_l7_r5,19,5602,732
dq2_market_hgb_15m_l7_r5,20,5779,528
dq2_market_hgb_15m_l7_r5,21,5875,230
dq2_market_hgb_15m_l7_r5,22,5936,130
dq2_market_hgb_15m_l15_r10,8,851,1449
dq2_market_hgb_15m_l15_r10,9,1182,1602
dq2_market_hgb_15m_l15_r10,10,1592,1629
dq2_market_hgb_15m_l15_r10,11,2010,1748
dq2_market_hgb_15m_l15_r10,12,2464,1645
dq2_market_hgb_15m_l15_r10,13,2889,1876
dq2_market_hgb_15m_l15_r10,14,3359,1640
dq2_market_hgb_15m_l15_r10,15,3771,1808
dq2_market_hgb_15m_l15_r10,16,4244,1872
dq2_market_hgb_15m_l15_r10,17,4709,1810
dq2_market_hgb_15m_l15_r10,18,5149,1799
dq2_market_hgb_15m_l15_r10,19,5602,732
dq2_market_hgb_15m_l15_r10,20,5779,528
dq2_market_hgb_15m_l15_r10,21,5875,230
dq2_market_hgb_15m_l15_r10,22,5936,130
dq2_market_hgb_15m_l31_r20,8,851,1449
dq2_market_hgb_15m_l31_r20,9,1182,1602
dq2_market_hgb_15m_l31_r20,10,1592,1629
dq2_market_hgb_15m_l31_r20,11,2010,1748
dq2_market_hgb_15m_l31_r20,12,2464,1645
dq2_market_hgb_15m_l31_r20,13,2889,1876
dq2_market_hgb_15m_l31_r20,14,3359,1640
dq2_market_hgb_15m_l31_r20,15,3771,1808
dq2_market_hgb_15m_l31_r20,16,4244,1872
dq2_market_hgb_15m_l31_r20,17,4709,1810
dq2_market_hgb_15m_l31_r20,18,5149,1799
dq2_market_hgb_15m_l31_r20,19,5602,732
dq2_market_hgb_15m_l31_r20,20,5779,528
dq2_market_hgb_15m_l31_r20,21,5875,230
dq2_market_hgb_15m_l31_r20,22,5936,130
dq2_market_ridge_30m_a0.1,8,771,1449
dq2_market_ridge_30m_a0.1,9,1070,1602
dq2_market_ridge_30m_a0.1,10,1441,1629
dq2_market_ridge_30m_a0.1,11,1819,1748
dq2_market_ridge_30m_a0.1,12,2229,1645
dq2_market_ridge_30m_a0.1,13,2612,1876
dq2_market_ridge_30m_a0.1,14,3032,1640
dq2_market_ridge_30m_a0.1,15,3409,1808
dq2_market_ridge_30m_a0.1,16,3830,1872
dq2_market_ridge_30m_a0.1,17,4247,1810
dq2_market_ridge_30m_a0.1,18,4642,1799
dq2_market_ridge_30m_a0.1,19,5055,732
dq2_market_ridge_30m_a0.1,20,5215,528
dq2_market_ridge_30m_a0.1,21,5302,230
dq2_market_ridge_30m_a0.1,22,5357,130
dq2_market_ridge_30m_a1,8,771,1449
dq2_market_ridge_30m_a1,9,1070,1602
dq2_market_ridge_30m_a1,10,1441,1629
dq2_market_ridge_30m_a1,11,1819,1748
dq2_market_ridge_30m_a1,12,2229,1645
dq2_market_ridge_30m_a1,13,2612,1876
dq2_market_ridge_30m_a1,14,3032,1640
dq2_market_ridge_30m_a1,15,3409,1808
dq2_market_ridge_30m_a1,16,3830,1872
dq2_market_ridge_30m_a1,17,4247,1810
dq2_market_ridge_30m_a1,18,4642,1799
dq2_market_ridge_30m_a1,19,5055,732
dq2_market_ridge_30m_a1,20,5215,528
dq2_market_ridge_30m_a1,21,5302,230
dq2_market_ridge_30m_a1,22,5357,130
dq2_market_ridge_30m_a10,8,771,1449
dq2_market_ridge_30m_a10,9,1070,1602
dq2_market_ridge_30m_a10,10,1441,1629
dq2_market_ridge_30m_a10,11,1819,1748
dq2_market_ridge_30m_a10,12,2229,1645
dq2_market_ridge_30m_a10,13,2612,1876
dq2_market_ridge_30m_a10,14,3032,1640
dq2_market_ridge_30m_a10,15,3409,1808
dq2_market_ridge_30m_a10,16,3830,1872
dq2_market_ridge_30m_a10,17,4247,1810
dq2_market_ridge_30m_a10,18,4642,1799
dq2_market_ridge_30m_a10,19,5055,732
dq2_market_ridge_30m_a10,20,5215,528
dq2_market_ridge_30m_a10,21,5302,230
dq2_market_ridge_30m_a10,22,5357,130
dq2_market_ridge_30m_a100,8,771,1449
dq2_market_ridge_30m_a100,9,1070,1602
dq2_market_ridge_30m_a100,10,1441,1629
dq2_market_ridge_30m_a100,11,1819,1748
dq2_market_ridge_30m_a100,12,2229,1645
dq2_market_ridge_30m_a100,13,2612,1876
dq2_market_ridge_30m_a100,14,3032,1640
dq2_market_ridge_30m_a100,15,3409,1808
dq2_market_ridge_30m_a100,16,3830,1872
dq2_market_ridge_30m_a100,17,4247,1810
dq2_market_ridge_30m_a100,18,4642,1799
dq2_market_ridge_30m_a100,19,5055,732
dq2_market_ridge_30m_a100,20,5215,528
dq2_market_ridge_30m_a100,21,5302,230
dq2_market_ridge_30m_a100,22,5357,130
dq2_market_elastic_30m_a0.0001_l0.1,8,771,1449
dq2_market_elastic_30m_a0.0001_l0.1,9,1070,1602
dq2_market_elastic_30m_a0.0001_l0.1,10,1441,1629
dq2_market_elastic_30m_a0.0001_l0.1,11,1819,1748
dq2_market_elastic_30m_a0.0001_l0.1,12,2229,1645
dq2_market_elastic_30m_a0.0001_l0.1,13,2612,1876
dq2_market_elastic_30m_a0.0001_l0.1,14,3032,1640
dq2_market_elastic_30m_a0.0001_l0.1,15,3409,1808
