model_id,feature,mse_increase_mean,mse_increase_std
market_15m_plus_dq_hgb,cum_net_yards_margin,0.00015656544379525085,5.71340907958308e-05
market_15m_plus_dq_hgb,cum_dq_play_margin,0.00012021898657265581,9.127070140761317e-05
market_15m_plus_dq_hgb,recent_dq_play_ewm10,6.248252623532585e-05,2.052664703667228e-05
market_15m_plus_dq_hgb,recent_dq_play_ewm20,5.777064294733552e-05,4.120609609163635e-05
market_15m_plus_dq_hgb,home_entry_imbalance,4.659056285333382e-05,5.231392490441738e-05
market_15m_plus_dq_hgb,score_margin_x_late,4.491446152926539e-05,3.105120699523135e-05
market_15m_plus_dq_hgb,prior_process_surprise_ewm5,3.889055105685283e-05,4.400522849797022e-05
market_15m_plus_dq_hgb,baseline_net_yards_007,3.712367824370774e-05,3.5231026570638446e-05
market_15m_plus_dq_hgb,yardline_100,3.5994737755974355e-05,2.7110262159462985e-05
market_15m_plus_dq_hgb,recent_dq_play_ewm5,1.7245596853147714e-05,2.2588086890184952e-05
market_15m_plus_dq_hgb,home_entry_spread,1.5413030757314088e-05,2.5230972025976176e-05
market_15m_plus_dq_hgb,p11_v2_exact,1.325044198275142e-05,1.4262058981360674e-05
market_15m_plus_dq_hgb,prior_sq_adjustment_ewm5,1.2458967830605936e-05,3.356156247332599e-05
market_15m_plus_dq_hgb,ydstogo,9.970500704491817e-06,2.9323397862089273e-05
market_15m_plus_dq_hgb,p11_cvw1_k0_c0.1_tp11_cosine,7.702805410074193e-06,5.845757206563462e-05
market_15m_plus_dq_hgb,home_possession,3.6987288011871198e-06,5.172344692506577e-06
market_15m_plus_dq_hgb,baseline_cumulative_epa,3.3625262631918327e-06,3.094584703224203e-05
market_15m_plus_dq_hgb,recent_epa_ewm5,2.483745575001216e-06,5.0216648841454294e-05
market_15m_plus_dq_hgb,market_home_fair,0.0,0.0
market_15m_plus_dq_hgb,cum_epa_margin,0.0,0.0
market_15m_plus_dq_hgb,down,-1.7085370929917586e-06,6.416474469464013e-06
market_15m_plus_dq_hgb,elapsed_fraction,-1.9810384719536347e-06,2.093310150891373e-06
market_15m_plus_dq_hgb,recent_net_yards_ewm5,-7.635176924599441e-06,1.4441407565103461e-05
market_15m_plus_dq_hgb,score_margin_home,-9.804906468648527e-06,8.544244841873789e-06
market_15m_plus_dq_hgb,away_entry_imbalance,-1.1060496084061509e-05,1.7197073317840695e-05
market_15m_plus_dq_hgb,prior_sq_process_adjustment_ewm5,-2.0694406344275277e-05,6.136432768539481e-05
market_15m_plus_dq_hgb,recent_epa_ewm10,-2.410937443997066e-05,2.2918833957481854e-05
market_15m_plus_dq_hgb,p11_cvw0.5_k3_c0.1_tp11_cosine,-2.8372818352370276e-05,2.7215880338625307e-05
market_15m_plus_dq_hgb,recent_net_yards_ewm10,-2.9678129271205715e-05,2.639953370870517e-05
market_15m_plus_dq_hgb,remaining_minutes,-3.516520571402717e-05,2.29878997737081e-05
market_15m_plus_dq_hgb,baseline_current_dq_cumulative,-3.559126245365968e-05,2.3299389172420688e-05
market_15m_state_only_hgb,market_logit,0.00026888659806602295,0.0001304690722394499
market_15m_state_only_hgb,yardline_100,0.00015465783876854756,4.1115975012323403e-05
market_15m_state_only_hgb,home_entry_spread,5.541489221507556e-05,4.6036540948265834e-05
market_15m_state_only_hgb,home_entry_imbalance,4.908616502783122e-05,7.5531358461446e-05
market_15m_state_only_hgb,score_margin_home,4.4697361545582185e-05,3.2785544145943506e-05
market_15m_state_only_hgb,home_possession,2.5801225993604827e-05,2.017244457349112e-05
market_15m_state_only_hgb,score_margin_x_late,1.4986350265438144e-05,6.096686186087244e-05
market_15m_state_only_hgb,away_entry_imbalance,1.1649003164460452e-05,3.82965208762092e-05
market_15m_state_only_hgb,elapsed_fraction,4.235510611557234e-06,3.920018450950702e-06
market_15m_state_only_hgb,down,4.020235286530255e-06,1.8190523305965944e-05
market_15m_state_only_hgb,ydstogo,3.1480807483616827e-07,4.27752344689287e-05
market_15m_state_only_hgb,market_home_fair,0.0,0.0
market_15m_state_only_hgb,remaining_minutes,-4.109951397448091e-05,3.9283076801242534e-05
