scenario,latency_seconds,friction_bps,min_entry_price,max_entry_price,max_spread,period,signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,baseline_cumulative_epa,BASELINE,0.8,14.412759758532047,-1,30m,42,28,30.83310761181606,0.07341216098051451,-0.2506481481481482,0.3333333333333333,52.596747949825925,1.2171379025360691,0.020592452418735037,-17.84598560354374,-5.48301748052477,6.16662152236321,2,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,baseline_cumulative_epa,BASELINE,0.7,10.731233805418007,1,settle,53,53,40.62962644885253,0.07665967254500472,0.13386363636363646,0.7547169811320755,53.311904731119576,1.3117561975741605,0.02108022665473382,-1.0557339176249343,-1.4881834938217893,8.125925289770503,4,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,baseline_net_yards_007,BASELINE,0.9,7.385,-1,5m,32,14,8.84512700048327,0.027641021876510213,-0.01313950198075836,0.34375,9.512168308881519,1.4726740781215282,0.002391419214100148,-1.655373005713404,0.6917126977303217,1.769025400096654,2,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,p11_v2_exact,P11_V2_EXACT,0.6,0.3359957097075061,-1,settle,66,66,-59.8742148273735,-0.09071850731420229,0.06704930221917177,0.6363636363636364,112.48670221404754,0.7511462392877244,-0.03336807598129561,-7.702026285873837,-29.560056768143085,-11.974842965474704,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,baseline_current_dq_cumulative,BASELINE,0.8,6.122135242000772,1,15m,46,29,-73.90678467658046,-0.16066692320995749,-0.3136111111111111,0.34782608695652173,78.44761633947094,0.5728510855412543,-0.011047852133262691,-26.537710084033613,-26.553414646702215,-14.781356935316087,1,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,p11_v2_exact,P11_V2_EXACT,0.9,0.7779313984309322,-1,15m,13,9,-6.5436669614767435,-0.05033589970366726,-0.013026315789473717,0.46153846153846156,6.196086316315452,0.24287879024128534,-0.022536686701701374,-1.2092564693371157,-1.7600506276915315,-1.3087333922953488,0,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,p11_v2_exact,P11_V2_EXACT,0.8,0.5741461803163885,-1,30m,40,29,-11.219300664634146,-0.028048251661585366,0.008608622620380814,0.525,27.6101685483189,0.7399399874963514,-0.005277345810588248,-3.1211778323539683,-5.198889558328148,-2.243860132926829,2,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,p11_v2_exact,P11_V2_EXACT,0.9,0.7779313984309322,-1,5m,20,10,-4.888664165641526,-0.024443320828207632,-0.013552760136785578,0.25,4.756137283921095,0.39137093692042385,-0.0005399249142260532,-1.2908445784137623,-1.477889274725474,-0.9777328331283052,0,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,baseline_net_yards_007,BASELINE,0.9,7.385,-1,30m,12,10,-8.4235465743609,-0.07019622145300748,-0.03329230333899269,0.5,12.119172253129426,0.507577709871534,-0.03157998521212073,-0.7288912814373498,-2.8083930048559953,-1.6847093148721792,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,baseline_current_dq_cumulative,BASELINE,0.85,6.962058824045694,1,30m,14,12,-8.339369454075332,-0.05956692467196672,-0.524478021978022,0.2857142857142857,41.23590625061213,0.8707793856385764,0.005596421078175754,-2.025000000000001,-6.694405692346869,-1.6678738908150674,2,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,tweak_process_outcome_agreement,DQ2_TWEAK_AGREEMENT,0.8,1.5641421815391412,1,settle,74,74,210.55254927254526,0.284530471989926,-1.0025,0.4594594594594595,68.59106292992516,1.5250687014277935,0.06518099664136169,4.734025550472936,23.32334381755164,42.110509854509054,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,tweak_process_outcome_ensemble,DQ2_TWEAK_ENSEMBLE,0.85,1.5079970473606323,1,settle,74,74,182.51888191626833,0.24664713772468688,-1.0025,0.4594594594594595,78.88021234640019,1.4551593065243602,0.05059394760612558,-26.50014431229188,16.68769540464877,36.50377638325368,2,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,tweak_process_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.6,0.4255413557822185,1,settle,76,76,51.86323169453037,0.06824109433490838,-1.0025,0.4605263157894737,97.61677215189874,1.1261802364686586,0.021511874903732905,-85.4861861598605,-22.332231606835922,10.372646338906073,2,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.8,1.3042297086372814,-1,settle,46,46,73.95118416185306,0.1607634438301153,-1.0025,0.2608695652173913,142.93155737704924,1.2169610801286581,-0.014784356643597703,-38.065788446526135,-13.926280974299834,14.790236832370605,2,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,tweak_process_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.8,0.9452602120503795,1,settle,74,74,116.33504612871869,0.15720952179556572,0.055730683090705446,0.5135135135135135,62.61649772263516,1.3223470383173146,0.04081583773722777,-2.8049296734010554,6.8399935388668265,23.267009225743728,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_remaining_time_scaled,DQ2_TWEAK_TIME_AWARE,0.9,0.1955260315222922,-1,settle,67,67,192.8192280289763,0.28778989258056153,0.072768817204301,0.5970149253731343,57.621974439227984,1.7123643780510809,0.05769809121924819,-7.270967119364112,21.71620882526977,38.56384560579526,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,tweak_market_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.85,1.1654701584764322,-1,30m,77,50,5.590638761962826,0.007260569820730947,-0.0025,0.4805194805194805,37.03979336628815,1.045524712774248,0.008088760124938,-19.529760064279273,-6.686702201051711,1.1181277523925643,2,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,tweak_process_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.6,0.5590538939184704,1,settle,78,78,61.9230420211607,0.07938851541174453,-1.0025,0.44871794871794873,88.76981476955521,1.1436479545813627,0.014062737478764912,-12.660690820396926,-11.067642475337683,12.384608404232143,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.85,1.5000079826371508,1,5m,74,35,1.1746502431251469,0.001587365193412358,-0.01566017316017315,0.3783783783783784,12.01522966554234,1.0395401224976966,0.013230840754437067,0.9717872894802677,-1.9305000887542778,0.23493004862502956,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,REG_WEEKS_14_18_CONFIRMATION,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.7,1.1083703175196418,-1,30m,76,53,13.67662710264688,0.01799556197716696,-0.2025,0.3026315789473684,76.26708959020401,1.0653483419967018,-0.0074057572621747435,-0.8047082128092606,-11.567978872609565,2.735325420529384,3,5
BASE_60S_25BPS,60,25.0,0.05,0.95,0.1,POSTSEASON_FINAL_AUDIT,dq2_outcome_hgb_l15_r10_surprise_ewm10,DQ2_EPA_HGB,0.6,0.0808722506529674,1,settle,12,12,3.27038829571422,0.027253235797618514,0.1930291454442558,0.5833333333333334,27.75911517925247,1.0652446542785878,0.08854605291127056,-6.674184782608695,-2.9417779260714454,0.8175970739285541,2,4
