model_id,target,feature_set,train_rows,test_rows,features,mae,rmse,r2,target_mean,target_std
epa_prestate_hgb,epa,prestate,7970,5269,8,0.9095032222211151,1.3447292568649682,-0.012396884214161519,0.018107248878933335,1.336597578520992
epa_process_hgb,epa,process,7970,5269,29,0.7260176657424121,1.1700859505816992,0.2334921238152068,0.018107248878933335,1.336597578520992
epa_outcome_hgb,epa,outcome,7970,5269,40,0.24590637716270575,0.5516629803044123,0.8296160136252597,0.018107248878933335,1.336597578520992
market_15m_state_only_hgb,home_15m_fair_markout,market_state,2010,1349,13,0.0814145185929996,0.11960768376248626,-0.02124622096277773,0.005767492351353092,0.118400865683068
market_15m_plus_dq_hgb,home_15m_fair_markout,market_plus_dq,2010,1349,32,0.08147365077433101,0.11955701646042428,-0.020381179027790575,0.005767492351353092,0.118400865683068
