model_class,test_epochs,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,bootstrap_mean_return_p025,bootstrap_mean_return_p50,bootstrap_mean_return_p975,bootstrap_probability_positive,positive_test_weeks,total_test_weeks
DQ2_MARKET_HGB,11,110,106,108.1930006677814,0.09835727333434673,0.14707716701902757,0.5454545454545454,108.79825372167353,1.2252065928904383,0.039719712460107436,-0.12219598651803201,0.09230540475555493,0.33796952736878416,0.7906,7,11
DQ2_EPA_HGB,11,122,113,55.99455228616749,0.04589717400505531,-0.7247222222222222,0.4098360655737705,105.35981251107424,1.0882469621873996,0.016184576740461136,-0.19823408509468593,0.041764820655995634,0.3029481457920619,0.6276,5,11
DQ2_TWEAKS,11,110,104,3.989235931311992,0.003626578119374542,-0.6645879120879121,0.45454545454545453,110.92639709922574,1.0070277680088107,0.016985156045063107,-0.23246808700846552,-0.0010436904484899256,0.278193195890708,0.4964,6,11
RECENCY_BASELINES,11,119,117,3.1188800483288746,0.002620907603637716,-1.0025,0.47058823529411764,156.00793376203492,1.0050871918996838,-0.001628989940295483,-0.23032001401315455,-0.0008010922768534566,0.2373606175168912,0.4978,6,11
CANONICAL_BASELINES,11,90,70,-16.494446971277092,-0.018327163301419,-0.0161986301369863,0.4888888888888889,133.76315282267095,0.9505909654685952,-0.003839767426338776,-0.25521696366089647,-0.02228101119714082,0.24394437645991,0.4276,4,11
P11_GRID,10,80,63,-26.26821282767091,-0.032835266034588646,0.05013157894736836,0.575,93.68411121244341,0.9028202760144561,0.02146048030005534,-0.22795472452761265,-0.03522940201433084,0.16918814514005984,0.3656,5,11
PRIOR_SQ_EPA,11,221,105,-98.92575104453866,-0.0447627832780718,-0.0025,0.4751131221719457,181.81002450362632,0.8163976735868579,-0.003363016185005582,-0.13866114341259098,-0.04602966605777599,0.051143957671462695,0.1752,3,11
P11_EXACT,9,84,58,-38.46142972137616,-0.04578741633497163,0.05013157894736836,0.5357142857142857,93.70845736829709,0.8269439175710217,-0.013179611299601829,-0.18981376792936322,-0.04280719954460637,0.11953990520926348,0.2836,4,11
DQ2_WINPROB,10,74,71,-65.27706249530893,-0.08821224661528236,0.08497044917257685,0.527027027027027,120.80596743522861,0.8052045995950727,-0.00020617416347882024,-0.30031550850588284,-0.08814145304912768,0.12255874177776231,0.206,2,11
