test_epoch,calibration_epochs,validation_epochs,model_class,signal_id,family,threshold_quantile,threshold,orientation,horizon,validation_trades,validation_games,validation_pnl,validation_mean_return,validation_median_return,validation_win_rate,validation_max_drawdown,validation_profit_factor,validation_mean_fair_markout,validation_median_weekly_score,validation_mean_weekly_score,validation_mean_weekly_pnl,validation_positive_weeks,validation_weeks,exact_eligible,test_trades,test_games,test_pnl,test_mean_return,test_median_return,test_win_rate,test_max_drawdown,test_profit_factor,test_mean_fair_markout
12,"6,7,8","9,10,11",DQ2_MARKET_HGB,dq2_market_hgb_30m_l31_r20,DQ2_MARKET_HGB,0.9,0.08555597728356655,-1,settle,41,41,260.9965500770865,0.6365769514075279,0.5359615384615384,0.7560975609756098,27.90487804878049,3.6034568586243045,0.25909920863294766,97.51485011862452,79.00637035089873,86.99885002569549,3,3,True,12,12,83.72612494545669,0.6977177078788057,0.48018398268398277,0.75,10.025000000000006,3.7839110538805216,0.28632473898130023
12,"6,7,8","9,10,11",DQ2_EPA_HGB,dq2_process_hgb_l7_r5_surprise_ewm5,DQ2_EPA_HGB,0.7,0.42002717326414657,1,settle,43,43,147.57827743291955,0.3432052963556268,0.17397058823529415,0.5116279069767442,139.83514882914565,1.7010011990638616,0.10340752197410455,63.225302690802366,18.913616692390047,49.19275914430648,2,3,True,14,14,20.289077077433248,0.14492197912452318,0.16091991341991346,0.5714285714285714,20.049999999999997,1.337308014587419,0.1374684065115322
12,"6,7,8","9,10,11",DQ2_TWEAKS,tweak_process_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.7,0.834148408866819,-1,settle,42,42,171.974631893636,0.4094634092705618,0.4062301587301587,0.7142857142857143,44.02096774193548,2.4295480622912384,0.18423518312376747,52.29051533901014,45.685668388508475,57.324877297878665,3,3,True,14,14,-60.864235154465476,-0.43474453681761055,-1.0025,0.42857142857142855,55.35432098765431,0.24109432475728815,-0.14921962768883348
12,"6,7,8","9,10,11",P11_GRID,p11_cvw0.5_k0_c0.07_tp11_cosine,P11_V2_GRID,0.9,0.7554234222093476,1,30m,17,13,26.812392449350178,0.15771995558441282,-0.5580555555555555,0.29411764705882354,56.692037890424984,1.3168971462637995,0.08969069912374299,26.388626251390445,-1.1246347578800215,8.937464149783397,2,3,True,7,4,13.197493734335845,0.1885356247762264,0.3308333333333335,0.5714285714285714,11.65238095238095,1.596400620660755,0.09649659296211487
12,"6,7,8","9,10,11",P11_EXACT,p11_v2_exact,P11_V2_EXACT,0.9,0.7554234222093476,1,30m,17,13,26.812392449350178,0.15771995558441282,-0.5580555555555555,0.29411764705882354,56.692037890424984,1.3168971462637995,0.08969069912374299,26.388626251390445,-1.1246347578800215,8.937464149783397,2,3,True,7,4,13.197493734335845,0.1885356247762264,0.3308333333333335,0.5714285714285714,11.65238095238095,1.596400620660755,0.09649659296211487
12,"6,7,8","9,10,11",RECENCY_BASELINES,recent_net_yards_ewm20,RECENCY_BASELINE,0.7,3.1666024651963007,-1,settle,43,43,154.57153779507684,0.3594686925466903,0.20231927710843384,0.5348837209302325,51.65648148148151,1.770930363067715,0.12257802906991902,23.71835886057045,31.55579781329274,51.52384593169227,2,3,True,14,14,55.72729610847794,0.3980521150605566,0.19514773379231215,0.6428571428571429,16.741666666666667,2.111766505904797,0.1487652413926524
12,"6,7,8","9,10,11",CANONICAL_BASELINES,baseline_current_dq_cumulative,BASELINE,0.9,7.866620260203351,1,30m,19,14,21.433337577455227,0.11280703988134326,-0.69,0.3157894736842105,71.39799253034546,1.2088494684434896,0.06557878850357508,15.838130252100836,-5.739015858868799,7.144445859151742,2,3,True,2,1,-11.108479532163742,-0.5554239766081871,-0.5554239766081871,0.0,9.97236842105263,0.0,-0.08308745934290136
12,"6,7,8","9,10,11",PRIOR_SQ_EPA,prior_sq_process_adjustment_ewm5,PRIOR_SQ_EPA,0.9,0.889801818391201,-1,30m,61,36,61.82427401226005,0.10135126887255747,-0.022908163265306144,0.45901639344262296,33.79349214409971,1.5755117423582992,0.012317298889901148,13.37380285102376,11.123611291237964,20.608091337420017,2,3,True,22,9,-14.024039845819482,-0.06374563566281581,0.020806233062330596,0.5454545454545454,24.144112746774738,0.6645669225389477,-0.011498977533601618
12,"6,7,8","9,10,11",DQ2_WINPROB,dq2_winprob_market_only_c0.1,DQ2_WINPROB_RESIDUAL,0.7,0.10421859105534644,-1,settle,40,40,44.143426551843454,0.11035856637960859,0.30474538619275465,0.725,30.074999999999996,1.4003031199441702,0.05741667180901668,3.5302055669591113,1.667399270869759,14.71447551728115,3,3,True,13,13,35.19601850285331,0.2707386038681024,0.18797619047619046,0.8461538461538461,10.024999999999999,2.7554123941572732,0.15994967508075747
13,"6,7,8,9","10,11,12",DQ2_MARKET_HGB,dq2_market_hgb_30m_l31_r20,DQ2_MARKET_HGB,0.9,0.09677917498595813,-1,settle,38,38,218.44686810981048,0.5748601792363432,0.3114814496736517,0.6842105263157895,40.10000000000002,2.8158509402311753,0.19410271642957028,81.41629698572933,61.1197893699368,72.81562270327014,2,3,True,10,10,2.4862935346128654,0.02486293534612863,0.3398423423423423,0.7,10.024999999999999,1.0826697767119822,0.018966922706745805
13,"6,7,8,9","10,11,12",DQ2_TWEAKS,tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.7,1.1739727767266641,-1,settle,29,29,108.484460286522,0.37408434581559313,-1.0025,0.4482758620689655,95.61911764705883,1.6763370342052495,0.0573218963512078,74.46604604078576,13.549967154330858,36.161486762174,2,3,True,10,10,0.9530075187970013,0.009530075187969977,-1.0025,0.3,40.14999999999999,1.01358044202062,0.022451287968918515
13,"6,7,8,9","10,11,12",DQ2_EPA_HGB,dq2_process_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.9,0.5711406129019053,1,settle,41,41,134.65992688076116,0.32843884605063695,-1.0025,0.3902439024390244,91.34124892826915,1.537296466357152,0.023436805216226073,35.32596708917869,22.654630928018232,44.886642293587066,2,3,True,14,14,26.041971478375665,0.18601408198839767,-1.0025,0.35714285714285715,80.20000000000002,1.2886336545123376,-0.024040393403481988
13,"6,7,8,9","10,11,12",P11_GRID,p11_cvw0.5_k0_c0.07_tp11_cosine,P11_V2_GRID,0.9,0.7563330368376129,1,30m,17,12,83.59602781982767,0.49174134011663334,-0.19,0.47058823529411764,12.931720430107525,2.482439644961353,0.12770458103448556,26.388626251390445,22.837899783601888,27.86534260660923,3,3,True,0,0,0.0,,,,0.0,,
13,"6,7,8,9","10,11,12",P11_EXACT,p11_v2_exact,P11_V2_EXACT,0.9,0.7563330368376129,1,30m,17,12,83.59602781982767,0.49174134011663334,-0.19,0.47058823529411764,12.931720430107525,2.482439644961353,0.12770458103448556,26.388626251390445,22.837899783601888,27.86534260660923,3,3,True,0,0,0.0,,,,0.0,,
13,"6,7,8,9","10,11,12",CANONICAL_BASELINES,baseline_cumulative_epa,BASELINE,0.8,14.589270607568324,-1,30m,22,13,95.39585230289445,0.43361751046770214,-0.12192959001782544,0.45454545454545453,23.665040351805047,2.8104403434657703,0.05947248536934414,24.425992063492057,25.39858135926208,31.798617434298155,2,3,True,5,4,22.838933211611227,0.4567786642322247,-0.2589102564102565,0.4,5.580555555555556,2.8410796978035555,0.09691187562643085
13,"6,7,8,9","10,11,12",RECENCY_BASELINES,recent_net_yards_ewm20,RECENCY_BASELINE,0.7,3.1457569604272897,-1,settle,43,43,71.46281106740574,0.16619258387768782,0.18797619047619046,0.5581395348837209,51.65648148148148,1.375182102992024,0.10234534240510822,23.71835886057045,7.745944459624625,23.820937022468588,2,3,True,16,16,-114.27371249440213,-0.7142107030900133,-1.0025,0.1875,104.24871249440213,0.12316353351696029,-0.3229282045187737
13,"6,7,8,9","10,11,12",DQ2_WINPROB,dq2_winprob_market_only_c0.1,DQ2_WINPROB_RESIDUAL,0.9,0.16319517474959117,-1,settle,23,23,35.761808401691056,0.15548612348561325,0.2475,0.8695652173913043,16.14017216642754,2.189087561153485,0.132595283908136,14.090001359625681,7.5597407728257595,11.920602800563685,3,3,True,3,3,-5.505711610486889,-0.183523720349563,0.1210955056179776,0.6666666666666666,0.0,0.4508018343653975,-0.16786917966847495
13,"6,7,8,9","10,11,12",PRIOR_SQ_EPA,prior_sq_process_adjustment_ewm5,PRIOR_SQ_EPA,0.9,0.788165065140459,-1,30m,85,38,65.8496739551658,0.07747020465313627,0.03279411764705892,0.5176470588235295,32.57137289767706,1.4873730656494846,0.017080837468655817,-0.10804016921620452,10.801251745572564,21.949891318388605,2,3,True,39,15,61.715544444790154,0.1582449857558722,0.021596385542168754,0.5384615384615384,19.665608701435062,2.1716759734256943,0.06826683140509154
14,"6,7,8,9,10","11,12,13",DQ2_EPA_HGB,dq2_outcome_hgb_l7_r5_surprise_ewm5,DQ2_EPA_HGB,0.7,0.1476416999738668,1,settle,45,45,106.85536004811202,0.23745635566247117,0.2170121951219512,0.5333333333333333,51.281206866870846,1.5075661325168601,0.07951162370809124,59.86526886026526,16.565163410970072,35.618453349370675,2,3,True,14,14,37.901124386797726,0.2707223170485552,0.34909817351598166,0.5714285714285714,26.4013698630137,1.6301101311188317,0.11732340158697926
