signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks,eligible_for_ranking,selection_rank
tweak_process_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.8,0.9158541345063291,1,settle,45,45,120.70660577023295,0.2682369017116288,0.17397058823529415,0.5555555555555556,59.72916849495397,1.60202795895378,0.11110789357555914,43.59063728231067,20.028101824457753,40.23553525674432,2,3,True,1.0
tweak_process_outcome_agreement,DQ2_TWEAK_AGREEMENT,0.8,1.5641421815391412,1,settle,45,45,116.54000595420075,0.258977791009335,-1.0025,0.4888888888888889,46.83119658119657,1.5054320978171993,0.0728404248388328,40.7577728524571,19.168115917297804,38.84666865140026,2,3,True,2.0
tweak_process_outcome_ensemble,DQ2_TWEAK_ENSEMBLE,0.85,1.5079970473606323,1,settle,45,45,138.04274371606843,0.3067616527023742,0.10861111111111116,0.5111111111111111,60.150000000000034,1.6259022612381246,0.09810649136215237,38.728019331330344,25.791815245423482,46.01424790535614,2,3,True,4.0
tweak_outcome_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.85,1.172298631049096,-1,settle,41,41,12.353319550918634,0.030130047685167267,-1.0025,0.43902439024390244,112.60946746081234,1.053576144642388,-0.02003861476410569,38.30752863476325,-18.15280655799769,4.117773183639531,2,3,True,5.0
tweak_process_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.6,0.4255413557822185,1,settle,45,45,71.38141810445595,0.15862537356545778,0.13386363636363646,0.5111111111111111,67.13034188034187,1.323651861729567,0.04770042715981771,34.443051537624925,1.4609712769839096,23.79380603481867,2,3,True,9.0
tweak_outcome_epa_agreement,DQ2_TWEAK_AGREEMENT,0.8,1.3042297086372814,-1,settle,27,27,154.84863402595602,0.5735134593553928,-1.0025,0.4074074074074074,45.44411764705882,1.9653904864461103,0.1063894002539092,29.91279178338003,35.6796917341422,51.61621134198533,2,3,True,15.0
tweak_process_epa_ensemble,DQ2_TWEAK_ENSEMBLE,0.8,0.9452602120503795,1,settle,45,45,-11.936120994273011,-0.026524713320606703,-1.0025,0.4,100.82008547008547,0.9559023884944196,-0.00886752271129565,28.192392443104033,-34.531591613475626,-3.978706998091011,2,3,True,16.0
tweak_outcome_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.8,0.8553897795105581,1,settle,43,43,126.38674893134286,0.2939226719333555,0.38638888888888884,0.627906976744186,40.10000000000001,1.7879473125395442,0.157976944361213,25.178003564105097,28.347669481426816,42.128916310447615,2,3,True,17.0
tweak_outcome_remaining_time_scaled,DQ2_TWEAK_TIME_AWARE,0.9,0.1955260315222922,-1,settle,41,41,60.901106308722625,0.1485392836798113,0.05013157894736836,0.5121951219512195,56.42197919944851,1.3037461661282923,-0.02308205437285008,19.17951652704721,5.1774544254642185,20.300368769574217,2,3,True,22.0
tweak_market_uncertainty_scaled,DQ2_TWEAK_PRICE_AWARE,0.85,1.1654701584764322,-1,30m,86,33,58.4665166804105,0.06798432172140755,-0.0025,0.4883720930232558,17.492090470621903,1.526410407657727,0.03146798028819434,13.287475608756829,12.107802592423392,19.488838893470167,3,3,True,29.0
