signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks,eligible_for_ranking,selection_rank
dq2_outcome_hgb_l7_r5_surprise_ewm20,DQ2_EPA_HGB,0.8,0.11323731638970255,1,settle,43,43,211.39086833348338,0.49160667054298457,0.38638888888888884,0.6744186046511628,29.84001148105628,2.5061693504345084,0.20034411825941562,73.39615474654408,58.33149123468879,70.46362277782781,3,3,True,1.0
recent_dq_play_ewm20,RECENCY_BASELINE,0.85,0.25187453534987997,1,settle,41,41,136.20611662351257,0.33221004054515263,0.26332278481012644,0.6829268292682927,74.35198412698412,2.0451265422866878,0.15348411007819185,68.86832897500727,30.68571356301759,45.40203887450419,2,3,True,2.0
dq2_outcome_hgb_l15_r10_surprise_ewm5,DQ2_EPA_HGB,0.85,0.21441154713189337,1,settle,44,44,123.50633260191998,0.28069621045890897,0.3498391812865497,0.6136363636363636,36.805233829253964,1.7246960985883526,0.15066506063204652,66.11649370375518,27.57367445986689,41.16877753397332,2,3,True,3.0
dq2_outcome_hgb_l15_r10_surprise_ewm10,DQ2_EPA_HGB,0.6,0.08087225065296744,1,settle,45,45,175.5140523245227,0.3900312273878282,0.33083333333333326,0.6666666666666666,33.77359208523591,2.167175742806468,0.16654126920274254,65.46652252241304,46.19241876063492,58.50468410817424,2,3,True,4.0
dq2_outcome_hgb_l7_r5_surprise_ewm5,DQ2_EPA_HGB,0.7,0.1476416999738668,1,settle,45,45,106.85536004811202,0.23745635566247117,0.2170121951219512,0.5333333333333333,51.281206866870846,1.5075661325168601,0.07951162370809124,59.86526886026526,16.565163410970072,35.618453349370675,2,3,True,5.0
dq2_outcome_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,0.08751265998628195,1,settle,45,45,135.88350697752404,0.3019633488389423,0.33083333333333326,0.6222222222222222,47.43610266801755,1.7973214433183167,0.1288755382855486,59.13406296226011,32.37598521450511,45.29450232584136,2,3,True,6.0
dq2_outcome_ridge_a0.1_cum_margin,DQ2_EPA_RIDGE,0.7,9.874071632281677,-1,settle,26,26,167.52623597913725,0.6443316768428354,-1.0025,0.46153846153846156,40.100000000000016,2.1936318915506745,0.16669437450717045,54.16850060313212,40.804578659712405,55.842078659712406,3,3,True,8.0
dq2_outcome_ridge_a1_cum_margin,DQ2_EPA_RIDGE,0.7,9.861298810487684,-1,settle,26,26,167.52623597913725,0.6443316768428354,-1.0025,0.46153846153846156,40.100000000000016,2.1936318915506745,0.16669437450717045,54.16850060313212,40.804578659712405,55.842078659712406,3,3,True,8.0
dq2_outcome_ridge_a10_cum_margin,DQ2_EPA_RIDGE,0.7,9.917412305264,-1,settle,25,25,171.03270970254644,0.6841308388101857,-1.0025,0.44,40.100000000000016,2.2186156729785993,0.16515694499742234,52.2134663900334,41.97340323418214,57.010903234182145,3,3,True,10.0
dq2_outcome_elastic_a0.001_l0.1_cum_margin,DQ2_EPA_ELASTIC,0.7,9.899789874897332,-1,settle,25,25,165.47715414699087,0.6619086165879635,-1.0025,0.44,40.100000000000016,2.1790320922478865,0.16480283982531885,52.2134663900334,41.79238471566362,55.1590513823303,3,3,True,10.0
recent_dq_play_ewm10,RECENCY_BASELINE,0.85,0.32659860975462707,1,settle,41,41,142.44024448000903,0.3474152304390464,0.33083333333333326,0.7560975609756098,69.8842305037957,2.4208503190025836,0.1741781807898587,48.874226388245944,33.417250805505645,47.48008149333634,2,3,True,12.0
p11_cvw0.5_k3_c0.1_tnone,P11_V2_GRID,0.6,3.1930212085612006,1,settle,45,45,149.7849644032318,0.33285547645162616,-1.0025,0.4666666666666667,50.12500000000003,1.6225476492237396,0.09516019903056709,48.30264866245304,28.50363010971922,49.92832146774392,3,3,True,14.0
p11_cvw0.5_k3_c0.1_tremaining_linear,P11_V2_GRID,0.6,0.15965106042806004,1,settle,45,45,149.7849644032318,0.33285547645162616,-1.0025,0.4666666666666667,50.12500000000003,1.6225476492237396,0.09516019903056709,48.30264866245304,28.50363010971922,49.92832146774392,3,3,True,14.0
p11_cvw0.5_k3_c0.1_telapsed_sqrt,P11_V2_GRID,0.6,3.1828501141215737,1,settle,45,45,149.7849644032318,0.33285547645162616,-1.0025,0.4666666666666667,50.12500000000003,1.6225476492237396,0.09516019903056709,48.30264866245304,28.50363010971922,49.92832146774392,3,3,True,14.0
p11_cvw0.5_k3_c0.1_tp11_cosine,P11_V2_GRID,0.6,0.3221907791020931,1,settle,45,45,146.78360938968166,0.326185798643737,-1.0025,0.4666666666666667,50.12500000000003,1.6100731894832983,0.09164514461817089,48.30264866245304,27.36428954964695,48.927869796560536,3,3,True,14.0
dq2_winprob_market_plus_dq_c1,DQ2_WINPROB_RESIDUAL,0.7,0.1463959567844963,-1,settle,30,30,126.2922167509834,0.42097405583661135,0.39616979655712053,0.8,45.22462686567167,3.0996212261177627,0.2144467793506132,47.0086915733326,33.74323891699446,42.09740558366113,2,3,True,19.0
prior_sq_adjustment_ewm5,PRIOR_SQ_EPA,0.95,0.12450323027065234,-1,settle,27,27,277.746194134677,1.028689607906211,0.27955128205128194,0.6296296296296297,32.883620689655174,3.7705356023409173,0.12057864369318991,46.52707841284838,85.43062792994978,92.58206471155898,3,3,True,20.0
dq2_process_hgb_l15_r10_surprise_ewm5,DQ2_EPA_HGB,0.8,0.5176337005850116,-1,settle,45,45,66.0038944411431,0.14667532098031794,0.26332278481012644,0.7111111111111111,53.13912654801463,1.5064561246203187,0.09795875477438445,45.87403371896075,7.8044792595597015,22.001298147047695,2,3,True,21.0
dq2_process_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,0.2542854895101879,1,settle,45,45,59.79564451995078,0.1328792100443351,-1.0025,0.4888888888888889,81.47485471149854,1.2593327313019658,0.0362348557547099,45.166360927402096,-6.700633961139185,19.931881506650257,2,3,True,22.0
p11_cvw1_k8_c0.07_tnone,P11_V2_GRID,0.8,6.461312744980569,1,settle,15,15,115.20941558441555,0.7680627705627706,-1.0025,0.2,70.17500000000004,1.957684252572033,0.04914163460641037,44.86250000000001,23.365638528138533,38.40313852813853,2,3,True,23.0
dq2_winprob_market_plus_dq_c0.01,DQ2_WINPROB_RESIDUAL,0.85,0.2627589195044886,1,15m,62,22,69.12561717243373,0.11149293092328018,-0.0025,0.41935483870967744,34.47876233465477,1.5529986790001875,0.03067871185747666,38.46349206349207,13.821917370856221,23.04187239081124,2,3,True,43.0
recent_net_yards_ewm20,RECENCY_BASELINE,0.85,4.206843700240692,-1,30m,112,42,76.10017870880857,0.06794658813286479,-0.009642857142857172,0.4732142857142857,57.81156904719441,1.3926942497878516,0.02521941963464378,29.92127990969432,13.116847088451387,25.366726236269514,2,3,True,98.0
dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.8,0.03984896696976675,-1,30m,85,34,86.82331664971186,0.10214507841142575,0.01960526315789485,0.5411764705882353,25.250922350922348,1.9299910107552587,0.045068586201100644,28.276308594593658,20.86099290903555,28.941105549903956,3,3,True,140.0
dq2_market_hgb_15m_l7_r5,DQ2_MARKET_HGB,0.85,0.04619508825243781,-1,30m,55,29,68.65859462571964,0.12483380841039937,0.019971910112359607,0.5818181818181818,17.55211254262978,2.2613430477328684,0.0524657911896105,27.98158804262327,17.81000384025776,22.886198208573216,2,3,True,142.0
dq2_process_hgb_l15_r10_cum_margin,DQ2_EPA_HGB,0.8,6.993124323442498,-1,30m,35,15,41.542314952352434,0.11869232843529263,-0.062201492537313496,0.45714285714285713,38.303710201487206,1.5574773542937257,0.068541050350707,27.9612672897349,4.908797779439555,13.847438317450809,2,3,True,144.0
