period,signal_id,family,threshold_quantile,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,bootstrap_mean_return_p025,bootstrap_mean_return_p50,bootstrap_mean_return_p975,bootstrap_probability_positive,top_game_abs_pnl_share,leave_one_game_out_min_pnl,leave_one_game_out_max_pnl,pnl_by_entry_price_bucket
CONFIRMATION_PLUS_FINAL,p11_cvw0.5_k3_c0.1_tnone,P11_V2_GRID,0.6,1,settle,86,86,-20.335174392306975,-0.023645551618961556,-1.0025,0.4418604651162791,67.86584299283228,0.9577407015953721,0.01642312627482262,-0.3009195404208093,-0.026919609770445885,0.27220519082166367,0.4284,0.04522680158436487,-62.941753339675394,-10.310174392306976,"{"".15-.35"": 171.89863248290848, "".35-.65"": -34.616142288498054, "".65-.85"": -22.1341923118658, "".85-1"": 4.866527725148411, ""0-.15"": -140.34999999999997}"
REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_tremaining_linear,P11_V2_GRID,0.6,1,settle,74,74,31.675960146659854,0.04280535154954039,-1.0025,0.4594594594594595,67.86584299283228,1.0789924193183538,0.03156538964079122,-0.26849515902069265,0.04118518509055366,0.3904020159370353,0.6008,0.05110688203108687,-10.930618800708565,41.70096014665985,"{"".15-.35"": 201.97363248290847, "".35-.65"": -39.62211301268912, "".65-.85"": -15.242087048707909, "".85-1"": 4.866527725148411, ""0-.15"": -120.29999999999998}"
POSTSEASON_FINAL_AUDIT,p11_cvw0.5_k3_c0.1_tremaining_linear,P11_V2_GRID,0.6,1,settle,12,12,-52.011134538966814,-0.4334261211580568,-1.0025,0.3333333333333333,51.96113453896682,0.35148211298046356,-0.07695416448198372,-0.8612570621468926,-0.43752824858757045,0.04244093477144337,0.041,0.09249105023249901,-61.986134538966816,-41.986134538966816,"{"".15-.35"": -30.074999999999996, "".35-.65"": 5.005970724191069, "".65-.85"": -6.892105263157893, ""0-.15"": -20.049999999999997}"
CONFIRMATION_PLUS_FINAL,p11_cvw0.5_k3_c0.1_tremaining_linear,P11_V2_GRID,0.6,1,settle,86,86,-20.335174392306975,-0.023645551618961556,-1.0025,0.4418604651162791,67.86584299283228,0.9577407015953721,0.01642312627482262,-0.30308772504298814,-0.028268168974105057,0.28020425479025335,0.4228,0.04522680158436487,-62.941753339675394,-10.310174392306976,"{"".15-.35"": 171.89863248290848, "".35-.65"": -34.616142288498054, "".65-.85"": -22.1341923118658, "".85-1"": 4.866527725148411, ""0-.15"": -140.34999999999997}"
REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_telapsed_sqrt,P11_V2_GRID,0.6,1,settle,74,74,40.72573390231596,0.05503477554367027,-1.0025,0.4594594594594595,67.86584299283228,1.101560433671611,0.032497965236690234,-0.25594523723423973,0.05287999927550362,0.3908716276328604,0.6282,0.05055806086527688,-1.8808450450524603,50.75073390231596,"{"".15-.35"": 211.02340623856458, "".35-.65"": -39.62211301268912, "".65-.85"": -15.242087048707909, "".85-1"": 4.866527725148411, ""0-.15"": -120.29999999999998}"
POSTSEASON_FINAL_AUDIT,p11_cvw0.5_k3_c0.1_telapsed_sqrt,P11_V2_GRID,0.6,1,settle,12,12,-51.60297127366069,-0.43002476061383915,-1.0025,0.3333333333333333,51.96113453896682,0.3565714305029838,-0.0769243260995127,-0.8612570621468926,-0.43002476061383915,0.06638672263974935,0.048,0.0954360922063711,-61.986134538966816,-41.577971273660694,"{"".15-.35"": -30.074999999999996, "".35-.65"": 5.414133989497191, "".65-.85"": -6.892105263157893, ""0-.15"": -20.049999999999997}"
CONFIRMATION_PLUS_FINAL,p11_cvw0.5_k3_c0.1_telapsed_sqrt,P11_V2_GRID,0.6,1,settle,86,86,-10.87723737134474,-0.01264795043179615,-1.0025,0.4418604651162791,67.86584299283228,0.9773955998101729,0.017229738538615407,-0.29241073652204225,-0.012088683008472866,0.30050405822036164,0.467,0.044777256646666506,-53.48381631871316,-0.8522373713447422,"{"".15-.35"": 180.9484062385646, "".35-.65"": -34.207979023191925, "".65-.85"": -22.1341923118658, "".85-1"": 4.866527725148411, ""0-.15"": -140.34999999999997}"
REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_tp11_cosine,P11_V2_GRID,0.6,1,settle,73,73,41.70096014665987,0.057124602940629994,-1.0025,0.4657534246575342,67.86584299283228,1.1066588916085685,0.03673075921233919,-0.2573888527370983,0.05348795556389498,0.390815327880269,0.6234,0.05172892524739103,-0.9056188007085524,51.725960146659865,"{"".15-.35"": 201.97363248290847, "".35-.65"": -29.59711301268912, "".65-.85"": -15.242087048707909, "".85-1"": 4.866527725148411, ""0-.15"": -120.29999999999998}"
POSTSEASON_FINAL_AUDIT,p11_cvw0.5_k3_c0.1_tp11_cosine,P11_V2_GRID,0.6,1,settle,12,12,-52.011134538966814,-0.4334261211580568,-1.0025,0.3333333333333333,51.96113453896682,0.35148211298046356,-0.07675002938118712,-0.8612570621468926,-0.43342612115805684,0.056301665179899034,0.0434,0.09249105023249901,-61.986134538966816,-41.986134538966816,"{"".15-.35"": -30.074999999999996, "".35-.65"": 5.005970724191069, "".65-.85"": -6.892105263157893, ""0-.15"": -20.049999999999997}"
CONFIRMATION_PLUS_FINAL,p11_cvw0.5_k3_c0.1_tp11_cosine,P11_V2_GRID,0.6,1,settle,85,85,-10.310174392306962,-0.012129616932125815,-1.0025,0.4470588235294118,67.86584299283228,0.9781181633314441,0.02070994199913548,-0.2854307366699663,-0.012063620721667653,0.29451565534613416,0.4648,0.04571326007404115,-52.91675333967538,-0.2851743923069634,"{"".15-.35"": 171.89863248290848, "".35-.65"": -24.59114228849805, "".65-.85"": -22.1341923118658, "".85-1"": 4.866527725148411, ""0-.15"": -140.34999999999997}"
REG_WEEKS_14_18_CONFIRMATION,dq2_process_hgb_l15_r10_surprise_ewm5,DQ2_EPA_HGB,0.8,-1,settle,77,77,11.169939481314444,0.014506414910797957,0.16029069767441867,0.5974025974025974,101.65150060026787,1.0359422073246385,0.0096901670532803,-0.20978901919614823,0.013082830098030188,0.24109103325600478,0.5466,0.05000896082491979,-20.471727185352226,21.194939481314442,"{"".15-.35"": 86.30751209574738, "".35-.65"": -31.003041858469224, "".65-.85"": -20.95484333964789, "".85-1"": 6.895312583684164, ""0-.15"": -30.074999999999996}"
POSTSEASON_FINAL_AUDIT,dq2_process_hgb_l15_r10_surprise_ewm5,DQ2_EPA_HGB,0.8,-1,settle,12,12,34.70786441289874,0.28923220344082284,0.4364233954451347,0.75,10.024999999999999,2.1540437045020364,0.17744049016316274,-0.1777795815295814,0.30195702346922787,0.7276897213939547,0.891,0.13390848303291,22.005591685626015,44.73286441289874,"{"".35-.65"": 20.96673986239204, "".65-.85"": 13.741124550506704}"
CONFIRMATION_PLUS_FINAL,dq2_process_hgb_l15_r10_surprise_ewm5,DQ2_EPA_HGB,0.8,-1,settle,89,89,45.87780389421319,0.05154809426316084,0.20231927710843384,0.6179775280898876,101.65150060026787,1.1345982217814674,0.03230818814674759,-0.14385534637538933,0.052620701341689335,0.2572156448379055,0.6932,0.04348904886503003,14.236137227546518,55.902803894213186,"{"".15-.35"": 86.30751209574738, "".35-.65"": -10.036301996077183, "".65-.85"": -7.213718789141186, "".85-1"": 6.895312583684164, ""0-.15"": -30.074999999999996}"
REG_WEEKS_14_18_CONFIRMATION,dq2_process_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,1,settle,78,78,131.41147927425268,0.16847625547981115,-0.46486559139784944,0.5,62.018181818181816,1.336112230383664,0.08947912354359713,-0.13144641324529702,0.16568993865432358,0.4873305935148452,0.862,0.04116009758690442,93.81743165520507,141.4364792742527,"{"".15-.35"": 172.40576455999997, "".35-.65"": 55.04290938460282, "".65-.85"": 2.5211061685959164, "".85-1"": 1.6916991610539978, ""0-.15"": -100.24999999999999}"
POSTSEASON_FINAL_AUDIT,dq2_process_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,1,settle,12,12,-0.9926089363745376,-0.008271741136454513,-0.46486559139784944,0.5,28.385869565217387,0.9834977732938563,0.05518941208094269,-0.6166975308641973,-0.012399918618946189,0.6090122094808293,0.4804,0.1487986420582309,-18.745386714152314,9.032391063625461,"{"".15-.35"": -40.099999999999994, "".35-.65"": 38.37970289158245, "".85-1"": 0.7276881720430101}"
