period,signal_id,family,threshold_quantile,threshold,orientation,horizon,trades,games,pnl,mean_return,median_return,win_rate,max_drawdown,profit_factor,mean_fair_markout,median_weekly_score,mean_weekly_score,mean_weekly_pnl,positive_weeks,weeks
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l7_r5_surprise_ewm20,DQ2_EPA_HGB,0.8,0.11323731638970255,1,settle,74,74,-22.03044127055069,-0.029770866581825286,-1.0025,0.4594594594594595,95.49850093775169,0.9450612437143376,0.014298991562190128,-32.11970668220666,-26.11444446370073,-4.406088254110137,3,5
REG_WEEKS_14_18_CONFIRMATION,recent_dq_play_ewm20,RECENCY_BASELINE,0.85,0.25187453534987997,1,settle,71,71,-66.89259897035535,-0.0942149281272611,0.06132978723404253,0.5211267605633803,138.20679126535745,0.8037476926203452,-0.024062675846591452,-71.37736395056676,-32.87400346115692,-13.378519794071073,2,5
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l15_r10_surprise_ewm5,DQ2_EPA_HGB,0.85,0.21441154713189337,1,settle,75,75,-73.57856512322326,-0.09810475349763105,-1.0025,0.44,128.19091152356387,0.8252498156436926,-0.016709479577256072,-12.438402579598005,-37.716844408062,-14.715713024644653,3,5
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l15_r10_surprise_ewm10,DQ2_EPA_HGB,0.6,0.08087225065296744,1,settle,78,78,53.89358923504576,0.06909434517313556,-1.0025,0.48717948717948717,69.9591669568605,1.1343979781422588,0.0341372183638056,-18.880549713304283,-8.624369041219365,10.778717847009153,3,5
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l7_r5_surprise_ewm5,DQ2_EPA_HGB,0.7,0.1476416999738668,1,settle,78,78,44.89849498333141,0.05756217305555305,-1.0025,0.44871794871794873,161.84365555827821,1.1041547178178543,0.015233396934444633,-19.91093284332312,-16.497221379178608,8.97969899666628,3,5
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_hgb_l7_r5_surprise_ewm10,DQ2_EPA_HGB,0.6,0.08751265998628195,1,settle,78,78,99.05553059652937,0.1269942699955504,0.06704930221917177,0.5256410256410257,105.80639764075713,1.2670500251978958,0.04811098527685571,-5.573934071211539,-1.092926701880701,19.811106119305872,4,5
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_ridge_a0.1_cum_margin,DQ2_EPA_RIDGE,0.7,9.874071632281677,-1,settle,53,53,-110.90761362972681,-0.20925964835797525,-1.0025,0.24528301886792453,181.28897780623137,0.7234224099009308,-0.004268934535017084,-103.01203813791841,-53.34292050656851,-22.18152272594537,2,5
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_ridge_a1_cum_margin,DQ2_EPA_RIDGE,0.7,9.861298810487684,-1,settle,53,53,-110.90761362972681,-0.20925964835797525,-1.0025,0.24528301886792453,181.28897780623137,0.7234224099009308,-0.004268934535017084,-103.01203813791841,-53.34292050656851,-22.18152272594537,2,5
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_ridge_a10_cum_margin,DQ2_EPA_RIDGE,0.7,9.917412305264,-1,settle,53,53,-106.08760234290956,-0.2001652874394521,-1.0025,0.24528301886792453,180.8807312252965,0.7354423881722952,-0.0019407823360755054,-102.39966826651607,-52.338093591111566,-21.21752046858192,2,5
REG_WEEKS_14_18_CONFIRMATION,dq2_outcome_elastic_a0.001_l0.1_cum_margin,DQ2_EPA_ELASTIC,0.7,9.899789874897332,-1,settle,53,53,-106.08760234290956,-0.2001652874394521,-1.0025,0.24528301886792453,180.8807312252965,0.7354423881722952,-0.0012382820132831633,-102.39966826651607,-52.338093591111566,-21.21752046858192,2,5
REG_WEEKS_14_18_CONFIRMATION,recent_dq_play_ewm10,RECENCY_BASELINE,0.85,0.32659860975462707,1,settle,70,70,-92.72551495587803,-0.13246502136554011,0.055730683090705446,0.5142857142857142,133.39326857906644,0.7279580021831363,-0.043253096554809585,-71.69071673610965,-40.20402317397533,-18.545102991175604,2,5
REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_tnone,P11_V2_GRID,0.6,3.1930212085612006,1,settle,74,74,31.675960146659854,0.04280535154954039,-1.0025,0.4594594594594595,67.86584299283228,1.0789924193183538,0.03156538964079122,-1.6247065180888534,-13.849677953520375,6.335192029331975,3,5
REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_tremaining_linear,P11_V2_GRID,0.6,0.15965106042806004,1,settle,74,74,31.675960146659854,0.04280535154954039,-1.0025,0.4594594594594595,67.86584299283228,1.0789924193183538,0.03156538964079122,-1.6247065180888534,-13.849677953520375,6.335192029331975,3,5
REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_telapsed_sqrt,P11_V2_GRID,0.6,3.1828501141215737,1,settle,74,74,40.72573390231596,0.05503477554367027,-1.0025,0.4594594594594595,67.86584299283228,1.101560433671611,0.032497965236690234,-0.6293057537732842,-12.039723202389151,8.145146780463197,3,5
REG_WEEKS_14_18_CONFIRMATION,p11_cvw0.5_k3_c0.1_tp11_cosine,P11_V2_GRID,0.6,0.3221907791020931,1,settle,73,73,41.70096014665987,0.057124602940629994,-1.0025,0.4657534246575342,67.86584299283228,1.1066588916085685,0.03673075921233919,-1.6247065180888534,-11.844677953520378,8.340192029331973,3,5
REG_WEEKS_14_18_CONFIRMATION,dq2_winprob_market_plus_dq_c1,DQ2_WINPROB_RESIDUAL,0.7,0.1463959567844963,-1,settle,40,40,-69.16611345712626,-0.17291528364281566,-1.0025,0.425,87.20727100579111,0.700027698331882,-0.06021186538890118,-25.313009118001837,-30.352338647003467,-13.833222691425249,2,5
